trade_name,abbreviation,typical_crew_size,typical_hourly_rate,common_activities
General Laborer,LAB,4-8,28-42,"Site cleanup, material handling, demolition assist, flagging, erosion control"
Carpenter - Rough,CARP-R,4-6,45-72,"Formwork, framing, sheathing, blocking, temporary structures, layout"
Carpenter - Finish,CARP-F,2-4,48-78,"Door/hardware install, trim, millwork, casework, ceiling grid"
Concrete Finisher,CONC,4-8,42-65,"Slab finishing, flatwork, curbs, patch/repair, stamped concrete"
Ironworker - Structural,IW-S,4-6,55-85,"Steel erection, bolting, welding, metal decking, precast erect"
Ironworker - Reinforcing,IW-R,4-8,50-78,"Rebar placement, tying, post-tension, doweling, mesh install"
Ironworker - Ornamental,IW-O,2-4,52-80,"Misc metals, stairs, railings, ladders, handrails, gratings"
Mason,MASON,4-6,48-75,"CMU walls, brick veneer, stone, grout, mortar, tuckpointing"
Electrician,ELEC,2-6,52-88,"Conduit, wire pulling, panel install, device install, terminations, testing"
Plumber,PLUMB,2-4,52-85,"Piping install, fixture rough-in, fixture trim, testing, medical gas"
Pipefitter/Steamfitter,PIPE,2-4,55-90,"Hydronic piping, process piping, welding, brazing, steam systems"
HVAC Sheet Metal Worker,HVAC-SM,2-6,50-82,"Duct fabrication, duct install, diffuser/grille install, exhaust systems"
HVAC Service Technician,HVAC-SVC,1-2,55-90,"Controls, start-up, commissioning, refrigerant charge, balancing"
Sprinkler Fitter,SPRK,2-4,52-82,"Fire sprinkler pipe, heads, hangers, standpipes, testing"
Roofer,ROOF,4-8,42-68,"Membrane roofing, metal roofing, shingles, flashing, insulation, gutters"
Glazier,GLAZ,2-4,48-75,"Curtain wall, storefront, windows, glass install, sealant, mirrors"
Painter,PAINT,2-6,38-62,"Interior/exterior paint, stain, wallcovering, specialty coatings"
Drywall/Taper,DW,4-8,42-68,"Metal framing, drywall hang, tape/finish, acoustical ceilings"
Tile Setter,TILE,2-4,48-75,"Ceramic/porcelain tile, stone tile, waterproofing membrane, grout"
Flooring Installer,FLOOR,2-4,42-68,"VCT, LVT, carpet, sheet vinyl, epoxy flooring, wood flooring"
Insulation Worker,INSUL,2-4,42-68,"Pipe insulation, duct insulation, firestopping, spray foam"
Waterproofer,WP,2-4,45-72,"Below-grade membrane, air barrier, traffic coating, caulking/sealant"
Operating Engineer,OE,1-2,58-95,"Crane operation, excavator, loader, dozer, forklift, aerial lift"
Teamster/Truck Driver,TEAM,1,35-55,"Material delivery, dump truck, water truck, concrete truck"
Surveyor/Layout,SURV,2-3,55-85,"Building layout, control points, grade stakes, as-built survey"
Elevator Constructor,ELEV,2-4,65-100,"Elevator install, escalator install, modernization, testing"
Fire Alarm Technician,FA,2-4,50-80,"Fire alarm devices, wiring, panel programming, testing, inspection"
Low-Voltage Technician,LV,2-4,42-68,"Data cabling, security, A/V, access control, DAS, sound masking"
Piledriver,PILE,4-6,55-85,"Driven piles, drilled shafts, sheet piling, micropiles"
Millwright,MILL,2-4,55-88,"Equipment setting, alignment, rigging, conveyor install"
Asbestos/Hazmat Worker,HAZ,4-8,45-72,"Asbestos abatement, lead abatement, mold remediation, containment"
Earthwork/Site Operator,EARTH,2-4,48-78,"Mass grading, excavation, backfill, compaction, utility trenching"
Steel Detailer/Erector,STEEL,4-6,55-85,"Structural steel erection, connection welding, metal deck, stud welding"
Door/Hardware Installer,DOOR,2-3,45-70,"HM frame install, wood door hang, hardware install, automatic operators"
Landscape/Irrigation,LAND,4-8,32-52,"Tree planting, irrigation install, sodding, seeding, hardscape"
Concrete Pump Operator,PUMP,1-2,55-85,"Concrete pumping, boom pump, line pump, shotcrete"
Scaffold Builder,SCAF,4-6,42-65,"Scaffold erection, swing stage, mast climber, scaffold inspection"
Safety Professional,SAFE,1-2,55-90,"Site safety inspection, toolbox talks, incident investigation, OSHA compliance"
Project Superintendent,SUPER,1,75-120,"Daily coordination, schedule management, quality oversight, safety"
Project Manager,PM,1,80-140,"Contract management, submittals, RFIs, change orders, schedule, cost"
